county,precinct,office,district,party,candidate,votes,absentee,election_day,provisional,early
Ashley,CW1,U.S. President,,DEM,Bernie Sanders,35,21,12,1,1
Ashley,CW2,U.S. President,,DEM,Bernie Sanders,26,10,16,0,0
Ashley,CW3,U.S. President,,DEM,Bernie Sanders,19,8,11,0,0
Ashley,NCE,U.S. President,,DEM,Bernie Sanders,13,10,3,0,0
Ashley,NCW,U.S. President,,DEM,Bernie Sanders,11,2,9,0,0
Ashley,WCR,U.S. President,,DEM,Bernie Sanders,7,4,3,0,0
Ashley,VOTECH,U.S. President,,DEM,Bernie Sanders,8,4,4,0,0
Ashley,COOTER,U.S. President,,DEM,Bernie Sanders,3,1,2,0,0
Ashley,HICKORY GROVE,U.S. President,,DEM,Bernie Sanders,1,1,0,0,0
Ashley,CROSSROADS,U.S. President,,DEM,Bernie Sanders,7,0,7,0,0
Ashley,HW3,U.S. President,,DEM,Bernie Sanders,18,8,7,0,3
Ashley,HW2,U.S. President,,DEM,Bernie Sanders,8,3,5,0,0
Ashley,HW1,U.S. President,,DEM,Bernie Sanders,20,6,14,0,0
Ashley,HBG RURAL,U.S. President,,DEM,Bernie Sanders,14,5,9,0,0
Ashley,MT ZION,U.S. President,,DEM,Bernie Sanders,4,4,0,0,0
Ashley,MILO,U.S. President,,DEM,Bernie Sanders,10,6,4,0,0
Ashley,BEECH CREEK,U.S. President,,DEM,Bernie Sanders,1,1,0,0,0
Ashley,MIST,U.S. President,,DEM,Bernie Sanders,2,1,1,0,0
Ashley,FH CITY,U.S. President,,DEM,Bernie Sanders,4,0,4,0,0
Ashley,FH RURAL,U.S. President,,DEM,Bernie Sanders,4,1,3,0,0
Ashley,PORTLAND CITY,U.S. President,,DEM,Bernie Sanders,7,0,7,0,0
Ashley,PORTLAND RURAL,U.S. President,,DEM,Bernie Sanders,1,0,1,0,0
Ashley,BOYDELL,U.S. President,,DEM,Bernie Sanders,1,0,1,0,0
Ashley,SNY/TRA,U.S. President,,DEM,Bernie Sanders,1,0,1,0,0
Ashley,MONTROSE CITY,U.S. President,,DEM,Bernie Sanders,15,1,13,0,1
Ashley,MONTROSE RURAL,U.S. President,,DEM,Bernie Sanders,0,0,0,0,0
Ashley,PARKDALE CITY,U.S. President,,DEM,Bernie Sanders,5,0,5,0,0
Ashley,PARKDALE RURAL,U.S. President,,DEM,Bernie Sanders,0,0,0,0,0
Ashley,WILMOT CITY,U.S. President,,DEM,Bernie Sanders,7,3,4,0,0
Ashley,WILMOT RURAL,U.S. President,,DEM,Bernie Sanders,1,0,1,0,0
Ashley,CW1,U.S. President,,DEM,Amy Klobuchar,1,0,1,0,0
Ashley,CW2,U.S. President,,DEM,Amy Klobuchar,3,2,1,0,0
Ashley,CW3,U.S. President,,DEM,Amy Klobuchar,5,5,0,0,0
Ashley,NCE,U.S. President,,DEM,Amy Klobuchar,1,0,1,0,0
Ashley,NCW,U.S. President,,DEM,Amy Klobuchar,2,1,1,0,0
Ashley,WCR,U.S. President,,DEM,Amy Klobuchar,3,3,0,0,0
Ashley,VOTECH,U.S. President,,DEM,Amy Klobuchar,0,0,0,0,0
Ashley,COOTER,U.S. President,,DEM,Amy Klobuchar,1,1,0,0,0
Ashley,HICKORY GROVE,U.S. President,,DEM,Amy Klobuchar,2,2,0,0,0
Ashley,CROSSROADS,U.S. President,,DEM,Amy Klobuchar,0,0,0,0,0
Ashley,HW3,U.S. President,,DEM,Amy Klobuchar,3,3,0,0,0
Ashley,HW2,U.S. President,,DEM,Amy Klobuchar,2,2,0,0,0
Ashley,HW1,U.S. President,,DEM,Amy Klobuchar,0,0,0,0,0
Ashley,HBG RURAL,U.S. President,,DEM,Amy Klobuchar,1,1,0,0,0
Ashley,MT ZION,U.S. President,,DEM,Amy Klobuchar,1,1,0,0,0
Ashley,MILO,U.S. President,,DEM,Amy Klobuchar,2,2,0,0,0
Ashley,BEECH CREEK,U.S. President,,DEM,Amy Klobuchar,0,0,0,0,0
Ashley,MIST,U.S. President,,DEM,Amy Klobuchar,0,0,0,0,0
Ashley,FH CITY,U.S. President,,DEM,Amy Klobuchar,0,0,0,0,0
Ashley,FH RURAL,U.S. President,,DEM,Amy Klobuchar,1,1,0,0,0
Ashley,PORTLAND CITY,U.S. President,,DEM,Amy Klobuchar,1,0,1,0,0
Ashley,PORTLAND RURAL,U.S. President,,DEM,Amy Klobuchar,0,0,0,0,0
Ashley,BOYDELL,U.S. President,,DEM,Amy Klobuchar,0,0,0,0,0
Ashley,SNY/TRA,U.S. President,,DEM,Amy Klobuchar,0,0,0,0,0
Ashley,MONTROSE CITY,U.S. President,,DEM,Amy Klobuchar,0,0,0,0,0
Ashley,MONTROSE RURAL,U.S. President,,DEM,Amy Klobuchar,0,0,0,0,0
Ashley,PARKDALE CITY,U.S. President,,DEM,Amy Klobuchar,0,0,0,0,0
Ashley,PARKDALE RURAL,U.S. President,,DEM,Amy Klobuchar,0,0,0,0,0
Ashley,WILMOT CITY,U.S. President,,DEM,Amy Klobuchar,0,0,0,0,0
Ashley,WILMOT RURAL,U.S. President,,DEM,Amy Klobuchar,0,0,0,0,0
Ashley,CW1,U.S. President,,DEM,Julian Castro,1,0,1,0,0
Ashley,CW2,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Ashley,CW3,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Ashley,NCE,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Ashley,NCW,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Ashley,WCR,U.S. President,,DEM,Julian Castro,1,1,0,0,0
Ashley,VOTECH,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Ashley,COOTER,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Ashley,HICKORY GROVE,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Ashley,CROSSROADS,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Ashley,HW3,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Ashley,HW2,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Ashley,HW1,U.S. President,,DEM,Julian Castro,1,0,1,0,0
Ashley,HBG RURAL,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Ashley,MT ZION,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Ashley,MILO,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Ashley,BEECH CREEK,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Ashley,MIST,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Ashley,FH CITY,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Ashley,FH RURAL,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Ashley,PORTLAND CITY,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Ashley,PORTLAND RURAL,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Ashley,BOYDELL,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Ashley,SNY/TRA,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Ashley,MONTROSE CITY,U.S. President,,DEM,Julian Castro,1,0,1,0,0
Ashley,MONTROSE RURAL,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Ashley,PARKDALE CITY,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Ashley,PARKDALE RURAL,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Ashley,WILMOT CITY,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Ashley,WILMOT RURAL,U.S. President,,DEM,Julian Castro,0,0,0,0,0
Ashley,CW1,U.S. President,,DEM,Steve Bullock,1,1,0,0,0
Ashley,CW2,U.S. President,,DEM,Steve Bullock,1,0,1,0,0
Ashley,CW3,U.S. President,,DEM,Steve Bullock,1,0,1,0,0
Ashley,NCE,U.S. President,,DEM,Steve Bullock,0,0,0,0,0
Ashley,NCW,U.S. President,,DEM,Steve Bullock,0,0,0,0,0
Ashley,WCR,U.S. President,,DEM,Steve Bullock,0,0,0,0,0
Ashley,VOTECH,U.S. President,,DEM,Steve Bullock,0,0,0,0,0
Ashley,COOTER,U.S. President,,DEM,Steve Bullock,1,0,1,0,0
Ashley,HICKORY GROVE,U.S. President,,DEM,Steve Bullock,0,0,0,0,0
Ashley,CROSSROADS,U.S. President,,DEM,Steve Bullock,0,0,0,0,0
Ashley,HW3,U.S. President,,DEM,Steve Bullock,0,0,0,0,0
Ashley,HW2,U.S. President,,DEM,Steve Bullock,2,1,1,0,0
Ashley,HW1,U.S. President,,DEM,Steve Bullock,0,0,0,0,0
Ashley,HBG RURAL,U.S. President,,DEM,Steve Bullock,2,2,0,0,0
Ashley,MT ZION,U.S. President,,DEM,Steve Bullock,0,0,0,0,0
Ashley,MILO,U.S. President,,DEM,Steve Bullock,1,1,0,0,0
Ashley,BEECH CREEK,U.S. President,,DEM,Steve Bullock,0,0,0,0,0
Ashley,MIST,U.S. President,,DEM,Steve Bullock,1,1,0,0,0
Ashley,FH CITY,U.S. President,,DEM,Steve Bullock,1,1,0,0,0
Ashley,FH RURAL,U.S. President,,DEM,Steve Bullock,0,0,0,0,0
Ashley,PORTLAND CITY,U.S. President,,DEM,Steve Bullock,0,0,0,0,0
Ashley,PORTLAND RURAL,U.S. President,,DEM,Steve Bullock,0,0,0,0,0
Ashley,BOYDELL,U.S. President,,DEM,Steve Bullock,0,0,0,0,0
Ashley,SNY/TRA,U.S. President,,DEM,Steve Bullock,0,0,0,0,0
Ashley,MONTROSE CITY,U.S. President,,DEM,Steve Bullock,1,0,1,0,0
Ashley,MONTROSE RURAL,U.S. President,,DEM,Steve Bullock,0,0,0,0,0
Ashley,PARKDALE CITY,U.S. President,,DEM,Steve Bullock,0,0,0,0,0
Ashley,PARKDALE RURAL,U.S. President,,DEM,Steve Bullock,0,0,0,0,0
Ashley,WILMOT CITY,U.S. President,,DEM,Steve Bullock,0,0,0,0,0
Ashley,WILMOT RURAL,U.S. President,,DEM,Steve Bullock,0,0,0,0,0
Ashley,CW1,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0
Ashley,CW2,U.S. President,,DEM,Mosie Boyd,1,1,0,0,0
Ashley,CW3,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0
Ashley,NCE,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0
Ashley,NCW,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0
Ashley,WCR,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0
Ashley,VOTECH,U.S. President,,DEM,Mosie Boyd,1,0,1,0,0
Ashley,COOTER,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0
Ashley,HICKORY GROVE,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0
Ashley,CROSSROADS,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0
Ashley,HW3,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0
Ashley,HW2,U.S. President,,DEM,Mosie Boyd,1,1,0,0,0
Ashley,HW1,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0
Ashley,HBG RURAL,U.S. President,,DEM,Mosie Boyd,1,0,1,0,0
Ashley,MT ZION,U.S. President,,DEM,Mosie Boyd,1,0,1,0,0
Ashley,MILO,U.S. President,,DEM,Mosie Boyd,1,1,0,0,0
Ashley,BEECH CREEK,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0
Ashley,MIST,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0
Ashley,FH CITY,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0
Ashley,FH RURAL,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0
Ashley,PORTLAND CITY,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0
Ashley,PORTLAND RURAL,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0
Ashley,BOYDELL,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0
Ashley,SNY/TRA,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0
Ashley,MONTROSE CITY,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0
Ashley,MONTROSE RURAL,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0
Ashley,PARKDALE CITY,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0
Ashley,PARKDALE RURAL,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0
Ashley,WILMOT CITY,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0
Ashley,WILMOT RURAL,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0
Ashley,CW1,U.S. President,,DEM,Pete Buttigieg,3,3,0,0,0
Ashley,CW2,U.S. President,,DEM,Pete Buttigieg,3,3,0,0,0
Ashley,CW3,U.S. President,,DEM,Pete Buttigieg,1,1,0,0,0
Ashley,NCE,U.S. President,,DEM,Pete Buttigieg,1,1,0,0,0
Ashley,NCW,U.S. President,,DEM,Pete Buttigieg,0,0,0,0,0
Ashley,WCR,U.S. President,,DEM,Pete Buttigieg,4,4,0,0,0
Ashley,VOTECH,U.S. President,,DEM,Pete Buttigieg,1,0,1,0,0
Ashley,COOTER,U.S. President,,DEM,Pete Buttigieg,0,0,0,0,0
Ashley,HICKORY GROVE,U.S. President,,DEM,Pete Buttigieg,2,0,2,0,0
Ashley,CROSSROADS,U.S. President,,DEM,Pete Buttigieg,1,1,0,0,0
Ashley,HW3,U.S. President,,DEM,Pete Buttigieg,5,3,1,0,1
Ashley,HW2,U.S. President,,DEM,Pete Buttigieg,3,3,0,0,0
Ashley,HW1,U.S. President,,DEM,Pete Buttigieg,1,1,0,0,0
Ashley,HBG RURAL,U.S. President,,DEM,Pete Buttigieg,1,1,0,0,0
Ashley,MT ZION,U.S. President,,DEM,Pete Buttigieg,1,1,0,0,0
Ashley,MILO,U.S. President,,DEM,Pete Buttigieg,1,0,0,0,1
Ashley,BEECH CREEK,U.S. President,,DEM,Pete Buttigieg,0,0,0,0,0
Ashley,MIST,U.S. President,,DEM,Pete Buttigieg,1,0,1,0,0
Ashley,FH CITY,U.S. President,,DEM,Pete Buttigieg,0,0,0,0,0
Ashley,FH RURAL,U.S. President,,DEM,Pete Buttigieg,0,0,0,0,0
Ashley,PORTLAND CITY,U.S. President,,DEM,Pete Buttigieg,0,0,0,0,0
Ashley,PORTLAND RURAL,U.S. President,,DEM,Pete Buttigieg,0,0,0,0,0
Ashley,BOYDELL,U.S. President,,DEM,Pete Buttigieg,0,0,0,0,0
Ashley,SNY/TRA,U.S. President,,DEM,Pete Buttigieg,0,0,0,0,0
Ashley,MONTROSE CITY,U.S. President,,DEM,Pete Buttigieg,0,0,0,0,0
Ashley,MONTROSE RURAL,U.S. President,,DEM,Pete Buttigieg,0,0,0,0,0
Ashley,PARKDALE CITY,U.S. President,,DEM,Pete Buttigieg,0,0,0,0,0
Ashley,PARKDALE RURAL,U.S. President,,DEM,Pete Buttigieg,0,0,0,0,0
Ashley,WILMOT CITY,U.S. President,,DEM,Pete Buttigieg,0,0,0,0,0
Ashley,WILMOT RURAL,U.S. President,,DEM,Pete Buttigieg,0,0,0,0,0
Ashley,CW1,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Ashley,CW2,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Ashley,CW3,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Ashley,NCE,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Ashley,NCW,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Ashley,WCR,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Ashley,VOTECH,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Ashley,COOTER,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Ashley,HICKORY GROVE,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Ashley,CROSSROADS,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Ashley,HW3,U.S. President,,DEM,Kamala Harris,1,0,1,0,0
Ashley,HW2,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Ashley,HW1,U.S. President,,DEM,Kamala Harris,1,0,1,0,0
Ashley,HBG RURAL,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Ashley,MT ZION,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Ashley,MILO,U.S. President,,DEM,Kamala Harris,1,1,0,0,0
Ashley,BEECH CREEK,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Ashley,MIST,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Ashley,FH CITY,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Ashley,FH RURAL,U.S. President,,DEM,Kamala Harris,1,0,1,0,0
Ashley,PORTLAND CITY,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Ashley,PORTLAND RURAL,U.S. President,,DEM,Kamala Harris,1,0,1,0,0
Ashley,BOYDELL,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Ashley,SNY/TRA,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Ashley,MONTROSE CITY,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Ashley,MONTROSE RURAL,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Ashley,PARKDALE CITY,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Ashley,PARKDALE RURAL,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Ashley,WILMOT CITY,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Ashley,WILMOT RURAL,U.S. President,,DEM,Kamala Harris,0,0,0,0,0
Ashley,CW1,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Ashley,CW2,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Ashley,CW3,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Ashley,NCE,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Ashley,NCW,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Ashley,WCR,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Ashley,VOTECH,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Ashley,COOTER,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Ashley,HICKORY GROVE,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Ashley,CROSSROADS,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Ashley,HW3,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Ashley,HW2,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Ashley,HW1,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Ashley,HBG RURAL,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Ashley,MT ZION,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Ashley,MILO,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Ashley,BEECH CREEK,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Ashley,MIST,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Ashley,FH CITY,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Ashley,FH RURAL,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Ashley,PORTLAND CITY,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Ashley,PORTLAND RURAL,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Ashley,BOYDELL,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Ashley,SNY/TRA,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Ashley,MONTROSE CITY,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Ashley,MONTROSE RURAL,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Ashley,PARKDALE CITY,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Ashley,PARKDALE RURAL,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Ashley,WILMOT CITY,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Ashley,WILMOT RURAL,U.S. President,,DEM,Joe Sestak,0,0,0,0,0
Ashley,CW1,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Ashley,CW2,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Ashley,CW3,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Ashley,NCE,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Ashley,NCW,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Ashley,WCR,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Ashley,VOTECH,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Ashley,COOTER,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Ashley,HICKORY GROVE,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Ashley,CROSSROADS,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Ashley,HW3,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Ashley,HW2,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Ashley,HW1,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Ashley,HBG RURAL,U.S. President,,DEM,John K. Delaney,1,1,0,0,0
Ashley,MT ZION,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Ashley,MILO,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Ashley,BEECH CREEK,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Ashley,MIST,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Ashley,FH CITY,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Ashley,FH RURAL,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Ashley,PORTLAND CITY,U.S. President,,DEM,John K. Delaney,1,0,1,0,0
Ashley,PORTLAND RURAL,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Ashley,BOYDELL,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Ashley,SNY/TRA,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Ashley,MONTROSE CITY,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Ashley,MONTROSE RURAL,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Ashley,PARKDALE CITY,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Ashley,PARKDALE RURAL,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Ashley,WILMOT CITY,U.S. President,,DEM,John K. Delaney,1,0,1,0,0
Ashley,WILMOT RURAL,U.S. President,,DEM,John K. Delaney,0,0,0,0,0
Ashley,CW1,U.S. President,,DEM,Cory Booker,1,1,0,0,0
Ashley,CW2,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Ashley,CW3,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Ashley,NCE,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Ashley,NCW,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Ashley,WCR,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Ashley,VOTECH,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Ashley,COOTER,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Ashley,HICKORY GROVE,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Ashley,CROSSROADS,U.S. President,,DEM,Cory Booker,1,1,0,0,0
Ashley,HW3,U.S. President,,DEM,Cory Booker,1,1,0,0,0
Ashley,HW2,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Ashley,HW1,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Ashley,HBG RURAL,U.S. President,,DEM,Cory Booker,0,0,0,0,0
Ashley,MT ZION,U.S. President,,DEM,Cory Booker,0,0,0,0,0
