county,precinct,office,district,party,candidate,votes,absentee,election_day_paper,election_day,early_vote,early_vote_paper
Stone,Arbanna,U.S. President,,DEM,Tulsi Gabbard,1,0,0,0,1,0
Stone,East Out,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0,0,0
Stone,Ward 1,U.S. President,,DEM,Tulsi Gabbard,2,0,0,0,2,0
Stone,Ward 2,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0,0,0
Stone,Ward 3,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0,0,0
Stone,West Out,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0,0,0
Stone,Dodd Mountain,U.S. President,,DEM,Tulsi Gabbard,2,0,0,1,1,0
Stone,Bethany,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0,0,0
Stone,Northeast,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0,0,0
Stone,Angora Mountain,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0,0,0
Stone,Pleasant Grove,U.S. President,,DEM,Tulsi Gabbard,3,0,1,2,0,0
Stone,Foothills,U.S. President,,DEM,Tulsi Gabbard,2,0,0,1,1,0
Stone,Liberty,U.S. President,,DEM,Tulsi Gabbard,1,0,1,0,0,0
Stone,Northwest,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0,0,0
Stone,Old Lexington,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0,0,0
Stone,Fox,U.S. President,,DEM,Tulsi Gabbard,1,0,0,1,0,0
Stone,Red Doors,U.S. President,,DEM,Tulsi Gabbard,3,0,2,1,0,0
Stone,Ben 01,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0,0,0
Stone,Ben 02,U.S. President,,DEM,Tulsi Gabbard,0,0,0,0,0,0
Stone,Arbanna,U.S. President,,DEM,Steve Bullock,0,0,0,0,0,0
Stone,East Out,U.S. President,,DEM,Steve Bullock,0,0,0,0,0,0
Stone,Ward 1,U.S. President,,DEM,Steve Bullock,0,0,0,0,0,0
Stone,Ward 2,U.S. President,,DEM,Steve Bullock,0,0,0,0,0,0
Stone,Ward 3,U.S. President,,DEM,Steve Bullock,0,0,0,0,0,0
Stone,West Out,U.S. President,,DEM,Steve Bullock,0,0,0,0,0,0
Stone,Dodd Mountain,U.S. President,,DEM,Steve Bullock,1,0,0,1,0,0
Stone,Bethany,U.S. President,,DEM,Steve Bullock,0,0,0,0,0,0
Stone,Northeast,U.S. President,,DEM,Steve Bullock,0,0,0,0,0,0
Stone,Angora Mountain,U.S. President,,DEM,Steve Bullock,0,0,0,0,0,0
Stone,Pleasant Grove,U.S. President,,DEM,Steve Bullock,0,0,0,0,0,0
Stone,Foothills,U.S. President,,DEM,Steve Bullock,0,0,0,0,0,0
Stone,Liberty,U.S. President,,DEM,Steve Bullock,0,0,0,0,0,0
Stone,Northwest,U.S. President,,DEM,Steve Bullock,0,0,0,0,0,0
Stone,Old Lexington,U.S. President,,DEM,Steve Bullock,0,0,0,0,0,0
Stone,Fox,U.S. President,,DEM,Steve Bullock,0,0,0,0,0,0
Stone,Red Doors,U.S. President,,DEM,Steve Bullock,1,0,0,0,1,0
Stone,Ben 01,U.S. President,,DEM,Steve Bullock,0,0,0,0,0,0
Stone,Ben 02,U.S. President,,DEM,Steve Bullock,0,0,0,0,0,0
Stone,Arbanna,U.S. President,,DEM,Tom Steyer,0,0,0,0,0,0
Stone,East Out,U.S. President,,DEM,Tom Steyer,1,0,0,0,1,0
Stone,Ward 1,U.S. President,,DEM,Tom Steyer,0,0,0,0,0,0
Stone,Ward 2,U.S. President,,DEM,Tom Steyer,1,0,0,0,1,0
Stone,Ward 3,U.S. President,,DEM,Tom Steyer,2,0,0,0,2,0
Stone,West Out,U.S. President,,DEM,Tom Steyer,1,0,0,1,0,0
Stone,Dodd Mountain,U.S. President,,DEM,Tom Steyer,0,0,0,0,0,0
Stone,Bethany,U.S. President,,DEM,Tom Steyer,0,0,0,0,0,0
Stone,Northeast,U.S. President,,DEM,Tom Steyer,0,0,0,0,0,0
Stone,Angora Mountain,U.S. President,,DEM,Tom Steyer,1,0,1,0,0,0
Stone,Pleasant Grove,U.S. President,,DEM,Tom Steyer,1,0,0,0,1,0
Stone,Foothills,U.S. President,,DEM,Tom Steyer,0,0,0,0,0,0
Stone,Liberty,U.S. President,,DEM,Tom Steyer,0,0,0,0,0,0
Stone,Northwest,U.S. President,,DEM,Tom Steyer,1,0,0,0,1,0
Stone,Old Lexington,U.S. President,,DEM,Tom Steyer,0,0,0,0,0,0
Stone,Fox,U.S. President,,DEM,Tom Steyer,0,0,0,0,0,0
Stone,Red Doors,U.S. President,,DEM,Tom Steyer,5,0,1,3,1,0
Stone,Ben 01,U.S. President,,DEM,Tom Steyer,0,0,0,0,0,0
Stone,Ben 02,U.S. President,,DEM,Tom Steyer,0,0,0,0,0,0
Stone,Arbanna,U.S. President,,DEM,Michael R. Bloomberg,6,0,3,1,2,0
Stone,East Out,U.S. President,,DEM,Michael R. Bloomberg,4,0,0,0,4,0
Stone,Ward 1,U.S. President,,DEM,Michael R. Bloomberg,16,1,0,3,11,1
Stone,Ward 2,U.S. President,,DEM,Michael R. Bloomberg,19,2,2,3,12,0
Stone,Ward 3,U.S. President,,DEM,Michael R. Bloomberg,15,2,1,2,8,2
Stone,West Out,U.S. President,,DEM,Michael R. Bloomberg,8,0,2,0,6,0
Stone,Dodd Mountain,U.S. President,,DEM,Michael R. Bloomberg,11,0,2,4,4,1
Stone,Bethany,U.S. President,,DEM,Michael R. Bloomberg,8,0,2,3,3,0
Stone,Northeast,U.S. President,,DEM,Michael R. Bloomberg,5,0,0,1,4,0
Stone,Angora Mountain,U.S. President,,DEM,Michael R. Bloomberg,1,0,1,0,0,0
Stone,Pleasant Grove,U.S. President,,DEM,Michael R. Bloomberg,12,0,1,7,4,0
Stone,Foothills,U.S. President,,DEM,Michael R. Bloomberg,11,0,3,4,4,0
Stone,Liberty,U.S. President,,DEM,Michael R. Bloomberg,3,0,0,2,1,0
Stone,Northwest,U.S. President,,DEM,Michael R. Bloomberg,4,0,2,0,2,0
Stone,Old Lexington,U.S. President,,DEM,Michael R. Bloomberg,1,0,0,1,0,0
Stone,Fox,U.S. President,,DEM,Michael R. Bloomberg,12,0,0,9,2,1
Stone,Red Doors,U.S. President,,DEM,Michael R. Bloomberg,19,0,0,7,10,2
Stone,Ben 01,U.S. President,,DEM,Michael R. Bloomberg,1,0,0,1,0,0
Stone,Ben 02,U.S. President,,DEM,Michael R. Bloomberg,2,0,1,0,1,0
Stone,Arbanna,U.S. President,,DEM,Joseph R. Biden,11,1,1,8,1,0
Stone,East Out,U.S. President,,DEM,Joseph R. Biden,11,0,1,2,8,0
Stone,Ward 1,U.S. President,,DEM,Joseph R. Biden,29,0,5,11,12,1
Stone,Ward 2,U.S. President,,DEM,Joseph R. Biden,17,2,3,2,10,0
Stone,Ward 3,U.S. President,,DEM,Joseph R. Biden,17,0,3,5,8,1
Stone,West Out,U.S. President,,DEM,Joseph R. Biden,10,0,0,4,4,2
Stone,Dodd Mountain,U.S. President,,DEM,Joseph R. Biden,33,0,8,15,7,3
Stone,Bethany,U.S. President,,DEM,Joseph R. Biden,15,0,8,3,2,2
Stone,Northeast,U.S. President,,DEM,Joseph R. Biden,1,0,1,0,0,0
Stone,Angora Mountain,U.S. President,,DEM,Joseph R. Biden,6,0,5,1,0,0
Stone,Pleasant Grove,U.S. President,,DEM,Joseph R. Biden,38,0,12,24,2,0
Stone,Foothills,U.S. President,,DEM,Joseph R. Biden,50,0,12,18,16,4
Stone,Liberty,U.S. President,,DEM,Joseph R. Biden,11,1,3,3,4,0
Stone,Northwest,U.S. President,,DEM,Joseph R. Biden,15,0,12,0,1,2
Stone,Old Lexington,U.S. President,,DEM,Joseph R. Biden,2,0,0,2,0,0
Stone,Fox,U.S. President,,DEM,Joseph R. Biden,33,0,6,21,6,0
Stone,Red Doors,U.S. President,,DEM,Joseph R. Biden,41,0,12,14,15,0
Stone,Ben 01,U.S. President,,DEM,Joseph R. Biden,3,0,1,0,2,0
Stone,Ben 02,U.S. President,,DEM,Joseph R. Biden,0,0,0,0,0,0
Stone,Arbanna,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,East Out,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Ward 1,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Ward 2,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Ward 3,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,West Out,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Dodd Mountain,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Bethany,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Northeast,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Angora Mountain,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Pleasant Grove,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Foothills,U.S. President,,DEM,Michael Bennet,1,0,0,1,0,0
Stone,Liberty,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Northwest,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Old Lexington,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Fox,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Red Doors,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Ben 01,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Ben 02,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Arbanna,U.S. President,,DEM,Cory Booker,0,0,0,0,0,0
Stone,East Out,U.S. President,,DEM,Cory Booker,0,0,0,0,0,0
Stone,Ward 1,U.S. President,,DEM,Cory Booker,0,0,0,0,0,0
Stone,Ward 2,U.S. President,,DEM,Cory Booker,1,0,0,1,0,0
Stone,Ward 3,U.S. President,,DEM,Cory Booker,0,0,0,0,0,0
Stone,West Out,U.S. President,,DEM,Cory Booker,0,0,0,0,0,0
Stone,Dodd Mountain,U.S. President,,DEM,Cory Booker,0,0,0,0,0,0
Stone,Bethany,U.S. President,,DEM,Cory Booker,1,0,0,1,0,0
Stone,Northeast,U.S. President,,DEM,Cory Booker,0,0,0,0,0,0
Stone,Angora Mountain,U.S. President,,DEM,Cory Booker,0,0,0,0,0,0
Stone,Pleasant Grove,U.S. President,,DEM,Cory Booker,1,0,0,1,0,0
Stone,Foothills,U.S. President,,DEM,Cory Booker,0,0,0,0,0,0
Stone,Liberty,U.S. President,,DEM,Cory Booker,1,0,1,0,0,0
Stone,Northwest,U.S. President,,DEM,Cory Booker,0,0,0,0,0,0
Stone,Old Lexington,U.S. President,,DEM,Cory Booker,0,0,0,0,0,0
Stone,Fox,U.S. President,,DEM,Cory Booker,1,0,0,0,1,0
Stone,Red Doors,U.S. President,,DEM,Cory Booker,0,0,0,0,0,0
Stone,Ben 01,U.S. President,,DEM,Cory Booker,0,0,0,0,0,0
Stone,Ben 02,U.S. President,,DEM,Cory Booker,0,0,0,0,0,0
Stone,Arbanna,U.S. President,,DEM,Bernie Sanders,21,0,3,12,6,0
Stone,East Out,U.S. President,,DEM,Bernie Sanders,5,0,0,2,3,0
Stone,Ward 1,U.S. President,,DEM,Bernie Sanders,13,0,1,5,6,1
Stone,Ward 2,U.S. President,,DEM,Bernie Sanders,11,0,1,4,6,0
Stone,Ward 3,U.S. President,,DEM,Bernie Sanders,17,0,2,6,8,1
Stone,West Out,U.S. President,,DEM,Bernie Sanders,7,0,1,3,2,1
Stone,Dodd Mountain,U.S. President,,DEM,Bernie Sanders,21,0,6,7,6,2
Stone,Bethany,U.S. President,,DEM,Bernie Sanders,12,0,3,4,5,0
Stone,Northeast,U.S. President,,DEM,Bernie Sanders,10,0,0,1,8,1
Stone,Angora Mountain,U.S. President,,DEM,Bernie Sanders,6,0,3,2,1,0
Stone,Pleasant Grove,U.S. President,,DEM,Bernie Sanders,15,0,2,11,2,0
Stone,Foothills,U.S. President,,DEM,Bernie Sanders,29,0,9,7,13,0
Stone,Liberty,U.S. President,,DEM,Bernie Sanders,6,0,0,3,2,1
Stone,Northwest,U.S. President,,DEM,Bernie Sanders,9,0,6,0,1,2
Stone,Old Lexington,U.S. President,,DEM,Bernie Sanders,0,0,0,0,0,0
Stone,Fox,U.S. President,,DEM,Bernie Sanders,30,1,4,17,8,0
Stone,Red Doors,U.S. President,,DEM,Bernie Sanders,32,0,9,12,10,1
Stone,Ben 01,U.S. President,,DEM,Bernie Sanders,2,0,0,2,0,0
Stone,Ben 02,U.S. President,,DEM,Bernie Sanders,0,0,0,0,0,0
Stone,Arbanna,U.S. President,,DEM,Andrew Yang,1,0,0,1,0,0
Stone,East Out,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,Ward 1,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,Ward 2,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,Ward 3,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,West Out,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,Dodd Mountain,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,Bethany,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,Northeast,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,Angora Mountain,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,Pleasant Grove,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,Foothills,U.S. President,,DEM,Andrew Yang,1,0,0,0,1,0
Stone,Liberty,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,Northwest,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,Old Lexington,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,Fox,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,Red Doors,U.S. President,,DEM,Andrew Yang,1,0,0,0,0,1
Stone,Ben 01,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,Ben 02,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,Arbanna,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,East Out,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Ward 1,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Ward 2,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Ward 3,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,West Out,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Dodd Mountain,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Bethany,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Northeast,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Angora Mountain,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Pleasant Grove,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Foothills,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Liberty,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Northwest,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Old Lexington,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Fox,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Red Doors,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Ben 01,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Ben 02,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Arbanna,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,East Out,U.S. President,,DEM,Mosie Boyd,1,0,1,0,0,0
Stone,Ward 1,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,Ward 2,U.S. President,,DEM,Mosie Boyd,1,0,1,0,0,0
Stone,Ward 3,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,West Out,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,Dodd Mountain,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,Bethany,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,Northeast,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,Angora Mountain,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,Pleasant Grove,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,Foothills,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,Liberty,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,Northwest,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,Old Lexington,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,Fox,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,Red Doors,U.S. President,,DEM,Mosie Boyd,2,0,0,0,1,1
Stone,Ben 01,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,Ben 02,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,Arbanna,U.S. President,,DEM,Amy Klobuchar,3,0,0,3,0,0
Stone,East Out,U.S. President,,DEM,Amy Klobuchar,2,0,0,0,2,0
Stone,Ward 1,U.S. President,,DEM,Amy Klobuchar,6,0,0,0,5,1
Stone,Ward 2,U.S. President,,DEM,Amy Klobuchar,3,0,0,1,2,0
Stone,Ward 3,U.S. President,,DEM,Amy Klobuchar,3,0,0,0,3,0
Stone,West Out,U.S. President,,DEM,Amy Klobuchar,2,0,0,0,2,0
Stone,Dodd Mountain,U.S. President,,DEM,Amy Klobuchar,7,0,1,1,5,0
Stone,Bethany,U.S. President,,DEM,Amy Klobuchar,0,0,0,0,0,0
Stone,Northeast,U.S. President,,DEM,Amy Klobuchar,4,1,0,1,2,0
Stone,Angora Mountain,U.S. President,,DEM,Amy Klobuchar,0,0,0,0,0,0
Stone,Pleasant Grove,U.S. President,,DEM,Amy Klobuchar,3,0,0,1,2,0
Stone,Foothills,U.S. President,,DEM,Amy Klobuchar,4,0,0,1,3,0
Stone,Liberty,U.S. President,,DEM,Amy Klobuchar,0,0,0,0,0,0
Stone,Northwest,U.S. President,,DEM,Amy Klobuchar,0,0,0,0,0,0
Stone,Old Lexington,U.S. President,,DEM,Amy Klobuchar,0,0,0,0,0,0
Stone,Fox,U.S. President,,DEM,Amy Klobuchar,1,0,0,0,1,0
Stone,Red Doors,U.S. President,,DEM,Amy Klobuchar,3,0,0,0,3,0
Stone,Ben 01,U.S. President,,DEM,Amy Klobuchar,0,0,0,0,0,0
Stone,Ben 02,U.S. President,,DEM,Amy Klobuchar,0,0,0,0,0,0
Stone,Arbanna,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,East Out,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,Ward 1,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,Ward 2,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,Ward 3,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,West Out,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,Dodd Mountain,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,Bethany,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,Northeast,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,Angora Mountain,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,Pleasant Grove,U.S. President,,DEM,Marianne Williamson,1,0,0,1,0,0
Stone,Foothills,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,Liberty,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,Northwest,U.S. President,,DEM,Marianne Williamson,1,0,0,0,1,0
Stone,Old Lexington,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,Fox,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,Red Doors,U.S. President,,DEM,Marianne Williamson,1,0,0,0,0,1
Stone,Ben 01,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,Ben 02,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,Arbanna,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0
Stone,East Out,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0
Stone,Ward 1,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0
Stone,Ward 2,U.S. President,,DEM,John K. Delaney,4,0,0,0,4,0
Stone,Ward 3,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0
Stone,West Out,U.S. President,,DEM,John K. Delaney,1,0,0,0,1,0
Stone,Dodd Mountain,U.S. President,,DEM,John K. Delaney,2,0,0,2,0,0
Stone,Bethany,U.S. President,,DEM,John K. Delaney,1,0,1,0,0,0
Stone,Northeast,U.S. President,,DEM,John K. Delaney,1,0,0,1,0,0
Stone,Angora Mountain,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0
Stone,Pleasant Grove,U.S. President,,DEM,John K. Delaney,3,0,0,2,1,0
Stone,Foothills,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0
Stone,Liberty,U.S. President,,DEM,John K. Delaney,1,0,0,1,0,0
Stone,Northwest,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0
Stone,Old Lexington,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0
Stone,Fox,U.S. President,,DEM,John K. Delaney,1,0,0,1,0,0
Stone,Red Doors,U.S. President,,DEM,John K. Delaney,3,0,0,3,0,0
Stone,Ben 01,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0
Stone,Ben 02,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0
Stone,Arbanna,U.S. President,,DEM,Pete Buttigieg,2,0,0,1,1,0
Stone,East Out,U.S. President,,DEM,Pete Buttigieg,1,0,0,0,1,0
Stone,Ward 1,U.S. President,,DEM,Pete Buttigieg,9,0,0,2,7,0
Stone,Ward 2,U.S. President,,DEM,Pete Buttigieg,1,0,0,0,1,0
Stone,Ward 3,U.S. President,,DEM,Pete Buttigieg,9,0,1,0,8,0
Stone,West Out,U.S. President,,DEM,Pete Buttigieg,1,0,0,0,1,0
Stone,Dodd Mountain,U.S. President,,DEM,Pete Buttigieg,3,0,0,0,3,0
Stone,Bethany,U.S. President,,DEM,Pete Buttigieg,1,0,0,0,1,0
Stone,Northeast,U.S. President,,DEM,Pete Buttigieg,0,0,0,0,0,0
Stone,Angora Mountain,U.S. President,,DEM,Pete Buttigieg,0,0,0,0,0,0
Stone,Pleasant Grove,U.S. President,,DEM,Pete Buttigieg,5,0,1,3,1,0
Stone,Foothills,U.S. President,,DEM,Pete Buttigieg,8,0,0,3,5,0
Stone,Liberty,U.S. President,,DEM,Pete Buttigieg,1,0,0,0,1,0
Stone,Northwest,U.S. President,,DEM,Pete Buttigieg,0,0,0,0,0,0
